a,а
able,способный
about,о
above,выше
accept,принимать
across,через
act,действовать
actually,на самом деле
add,добавлять
admit,признавать
afraid,испуганный
after,после
afternoon,полдень
again,снова
against,против
age,возраст
ago,назад
agree,соглашаться
ah,ах
ahead,предстоящий
air,воздух
all,все
allow,позволять
almost,почти
alone,один
along,вдоль
already,уже
alright,хорошо
also,также
although,хотя
always,всегда
am,являюсь
amaze,удивлять
an,анонс
and,и
anger,злость
angry,злой
animal,животное
annoy,раздражать
another,другой
answer,отвечать
any,любой
anymore,больше
anyone,любой
anything,что-либо
anyway,в любом случае
apartment,квартира
apparently,видимо
appear,появляться
approach,подход
are,являются
area,область
aren't,не
arm,рука
around,вокруг
arrive,приезжать
as,как
ask,просить
asleep,спящий
ass,жопа
at,в
attack,атака
attempt,пытаться
attention,внимание
aunt,тетя
avoid,избегать
away,прочь
baby,малыш
back,назад
bad,плохой
bag,сумка
ball,мяч
band,группа
bar,бар
barely,едва
bathroom,ванная комната
be,быть
beat,бить
beautiful,красивый
became,стал
because,потому что
become,становиться
bed,кровать
bedroom,Спальня
been,был
before,до
began,начал
begin,начинать
behind,позади
believe,полагать
bell,колокол
beside,рядом
besides,кроме
best,лучший
better,лучше
between,между
big,большой
bit,кусочек
bite,кусать
black,черный
blink,мигание
block,блокировать
blonde,блондинка
blood,кровь
blue,синий
blush,краснеть
body,тело
book,книга
bore,заседание
both,оба
bother,беспокоить
bottle,бутылка
bottom,нижний
box,коробка
boy,мальчик
boyfriend,дружок
brain,мозг
break,перерыв
breakfast,завтрак
breath,дыхание
breathe,дышать
bright,яркий
bring,приносить
broke,сломанный
broken,сломанный
brother,брат
brought,принес
brown,коричневый
brush,щетка
build,строить
burn,гореть
burst,лопаться
bus,автобус
business,бизнес
busy,занятый
but,но
buy,купить
by,к
call,вызов
calm,спокойствие
came,пришел
can,может
can't,не мочь
car,машина
card,карта
care,Забота
carefully,осторожно
carry,нести
case,случай
cat,кот
catch,ловить
caught,пойманный
cause,причина
cell,клетка
chair,стул
chance,шанс
change,изменять
chase,гнаться
check,проверять
cheek,щека
chest,грудь
child,ребенок
children,дети
chuckle,посмеиваться
city,город
class,сорт
clean,чистый
clear,прозрачный
climb,взбираться
close,закрывать
clothes,одежда
coffee,кофе
cold,холодный
college,колледж
color,цвет
come,приходить
comment,комментарий
complete,полный
completely,полностью
computer,компьютер
concern,беспокойство
confuse,запутать
consider,учитывать
continue,продолжать
control,контроль
conversation,беседа
cool,прохладный
corner,угол
couch,диван
could,мог
couldn't,не мог
counter,прилавок
couple,пара
course,курс
cover,крышка
crack,трескаться
crazy,сумасшедший
cross,крест
crowd,толпа
cry,плакать
cup,чашка
cut,резать
cute,милый
dad,папа
damn,проклятие
dance,танец
dark,темный
date,дата
daughter,дочь
day,день
dead,мертвый
deal,иметь дело
dear,дорогой
death,смерть
decide,решать
deep,глубокий
definitely,определенно
desk,рабочий стол
did,делал
didn't,не сделал
die,умереть
different,другой
dinner,ужин
direction,направление
disappear,пропадать
do,делать
doctor,врач
does,делает
doesn't,не
dog,собака
don't,не
done,сделанный
door,дверь
doubt,сомневаться
down,вниз
drag,тащить
draw,рисовать
dream,мечтать
dress,одеваться
drink,напиток
drive,водить машину
drop,уронить
drove,проехать
dry,сухой
during,в течение
each,каждый
ear,ухо
early,рано
easily,легко
easy,легкий
eat,есть
edge,край
either,или
else,еще
empty,пустой
end,конец
enjoy,наслаждаться
enough,достаточно
enter,входить
entire,весь
escape,побег
especially,особенно
even,даже
evening,вечер
eventually,в конце концов
ever,всегда
every,каждый
everyone,каждый
everything,все
exactly,точно
except,кроме
excite,волновать
exclaim,воскликнуть
excuse,извинение
expect,ожидать
explain,объяснять
expression,выражение
eye,глаз
eyebrow,бровь
face,лицо
fact,факт
fall,падать
family,семья
far,далеко
fast,быстрый
father,отец
fault,вина
favorite,любимый
fear,страх
feel,чувствовать
feet,ноги
fell,упал
felt,чувствовал себя
few,немного
field,поле
fight,драться
figure,фигура
fill,наполнять
finally,окончательно
find,находить
fine,отлично
finger,Палец
finish,заканчивать
fire,огонь
first,первый
fit,соответствовать
five,пять
fix,исправить
flash,вспышка
flip,подбросить
floor,пол
fly,летать
focus,фокус
follow,следовать
food,еда
foot,ступня
for,для
force,сила
forget,забывать
form,форма
forward,вперед
found,найденный
four,четыре
free,бесплатно
friend,друг
from,от
front,передний
frown,хмуриться
fuck,ебать
full,полный
fun,веселье
funny,забавный
further,дальше
game,игра
gasp,задыхаться
gave,отдал
gaze,посмотреть
gently,нежно
get,получать
giggle,хихикать
girl,девочка
girlfriend,Подруга
give,давать
given,данный
glad,радостный
glance,взглянуть мельком
glare,блики
glass,стекло
go,идти
God,Бог
gone,ушел
gonna,собираюсь
good,хороший
got,получил
gotten,получил
grab,схватить
great,большой
green,зеленый
greet,приветствовать
grey,серый
grin,ухмылка
grip,схватить
groan,стон
ground,земля
group,группа
grow,расти
guard,сторожить
guess,предполагать
gun,пистолет
guy,парень
had,имел
hadn't,не было
hair,волосы
half,половина
hall,зал
hallway,коридор
hand,рука
handle,ручка
hang,вешать
happen,случаться
happy,счастливый
hard,жесткий
has,имеет
hate,ненавидеть
have,иметь
haven't,не
he,он
he'd,Он будет
he's,Он
head,голова
hear,слышать
heard,слышал
heart,сердце
heavy,тяжелый
held,держал
hell,ад
hello,привет
help,помощь
her,ее
here,здесь
herself,сама
hey,привет
hi,привет
hide,скрывать
high,высокий
him,ему
himself,сам
his,его
hit,ударять
hold,держать
home,дом
hope,надеяться
horse,лошадь
hospital,больница
hot,горячий
hour,час
house,дом
how,как
however,однако
hug,обнимать
huge,огромный
huh,хм
human,человек
hundred,сто
hung,висела
hurry,торопиться
hurt,повредить
I,я
I'd,Идентификатор
I'll,Больной
I'm,Я
I've,Я
ice,лед
idea,идея
if,если
ignore,игнорировать
imagine,представлять себе
immediately,немедленно
important,важный
in,в
inside,внутри
instead,вместо
interest,интерес
interrupt,прерывать
into,в
is,является
isn't,не
it,это
it's,его
its,его
jacket,куртка
jeans,джинсы
jerk,придурок
job,работа
join,присоединиться
joke,шутить
jump,Прыгать
just,только
keep,держать
kept,сохраняется
key,ключ
kick,пинать
kid,ребенок
kill,убийство
kind,добрый
kiss,целовать
kitchen,кухня
knee,колено
knew,знал
knock,поступить
know,знать
known,известен
lady,леди
land,земля
large,большой
last,последний
late,поздно
laugh,смех
lay,класть
lead,вести
lean,наклонять
learn,учиться
least,наименее
leave,оставлять
led,вел
left,левый
leg,нога
less,меньше
let,позволять
letter,письмо
lie,ложь
life,жизнь
lift,поднимать
light,свет
like,нравиться
line,линия
lip,губа
listen,слушать
little,маленький
live,жить
lock,замок
locker,шкафчик
long,длинный
look,смотреть
lose,терять
lost,потерянный
lot,много
loud,громкий
love,любовь
low,низкий
lunch,обед
mad,безумный
made,сделал
make,делать
man,мужчина
manage,управлять
many,много
mark,отметка
marry,выйти замуж
match,соответствовать
matter,иметь значение
may,может
maybe,может быть
me,мне
mean,иметь в виду
meant,имел в виду
meet,встретиться
memory,Память
men,Мужчины
mention,упомянуть
met,встретил
middle,середина
might,мощь
mind,разум
mine,мой
minute,минута
mirror,зеркало
miss,скучать
mom,мама
moment,мгновенный
money,деньги
month,месяц
mood,настроение
more,более
morning,утро
most,большинство
mother,мать
mouth,рот
move,двигаться
movie,фильм
Mr.,Мистер.
Mrs.,Миссис.
much,много
mum,мама
mumble,бормотать
music,музыка
must,должен
mutter,бормотать
my,мой
myself,сам
name,имя
near,около
nearly,около
neck,шея
need,нуждаться
nervous,нервный
never,никогда
new,новый
next,следующий
nice,хороший
night,ночь
no,нет
nod,кивок
noise,шум
none,никто
normal,нормальный
nose,нос
not,нет
note,примечание
nothing,ничего
notice,уведомление
now,сейчас
number,число
obviously,очевидно
of,из
off,выключенный
offer,предложение
office,офис
often,часто
oh,ой
okay,хорошо
old,старый
on,на
once,один раз
one,один
only,только
onto,на
open,открыть
or,или
order,заказ
other,другой
our,наш
out,вне
outside,снаружи
over,над
own,собственный
pack,пакет
pain,боль
paint,краска
pair,пара
pants,брюки
paper,бумага
parents,родители
park,парк
part,часть
party,вечеринка
pass,проходить
past,прошлое
pause,Пауза
pay,платить
people,люди
perfect,идеальный
perhaps,возможно
person,человек
phone,телефон
pick,выбирать
picture,картина
piece,кусок
pink,розовый
piss,мочи
place,место
plan,план
play,играть
please,пожалуйста
pocket,карман
point,точка
police,полиция
pop,поп
position,позиция
possible,возможный
power,власть
practically,практически
present,подарок
press,нажимать
pretend,притворяться
pretty,симпатичный
probably,вероятно
problem,проблема
promise,обещать
pull,тянуть
punch,ударить кулаком
push,толкать
put,помещать
question,вопрос
quick,быстрый
quickly,быстро
quiet,тихий
quietly,тихо
quite,довольно
race,раса
rain,дождь
raise,поднимать
ran,пробег
rang,прозвенел
rather,скорее
reach,достигать
read,читать
ready,готовый
real,настоящий
realize,понимать
really,Действительно
reason,причина
recognize,распознавать
red,красный
relationship,отношение
relax,расслабляться
remain,оставаться
remember,помнить
remind,напоминать
repeat,повторить
reply,отвечать
respond,отвечать
rest,отдых
return,возвращаться
ride,поездка
right,верно
ring,кольцо
road,дорога
rock,камень
roll,рулон
room,комната
rose,Роза
round,круглый
rub,натирать
run,бегать
rush,торопиться
sad,грустный
safe,безопасный
said,сказал
same,такой же
sat,Суббота
save,сохранять
saw,пила
say,сказать
scare,напугать
school,школа
scream,крик
search,поиск
seat,сиденье
second,второй
see,видеть
seem,казаться
seen,видимый
self,себя
send,отправлять
sense,смысл
sent,отправил
serious,серьезный
seriously,серьезно
set,набор
settle,решить
seven,Семь
several,несколько
shadow,тень
shake,встряхнуть
share,делиться
she,она
she'd,сбрасывать
she's,она
shift,сдвиг
shirt,рубашка
shit,дерьмо
shock,шок
shoe,обувь
shook,встряхнуть
shop,магазин
short,короткий
shot,выстрелил
should,должен
shoulder,плечо
shouldn't,не должен
shout,кричать
shove,засунуть
show,показывать
shower,душ
shrug,пожимает плечами
shut,закрыть
sick,больной
side,сторона
sigh,вздох
sight,взгляд
sign,знак
silence,тишина
silent,тихий
simply,просто
since,с
single,одинокий
sir,сэр
sister,сестра
sit,сидеть
situation,ситуация
six,шесть
skin,кожа
sky,небо
slam,шлем
sleep,спать
slightly,немного
slip,соскальзывать
slow,медленный
slowly,медленно
small,маленький
smell,запах
smile,улыбка
smirk,ухмыляться
smoke,дымка
snap,щелчок
so,так
soft,мягкий
softly,мягко
some,некоторый
somehow,как-то
someone,кто-то
something,что-нибудь
sometimes,иногда
somewhere,где-то
son,сын
song,песня
soon,скоро
sorry,извини
sort,Сортировать
sound,звук
space,космос
speak,говорить
spend,тратить
spent,потраченный
spoke,говорил
spot,место
stair,лестница
stand,стоять
star,звезда
stare,глазеть
start,начинать
state,состояние
stay,оставаться
step,шаг
stick,палка
still,все еще
stomach,желудок
stood,стоял
stop,останавливаться
store,магазин
story,история
straight,прямой
strange,странный
street,улица
strong,сильный
struggle,борьба
stuck,застрявший
student,студент
study,изучать
stuff,вещи
stupid,глупый
such,такой
suck,сосать
sudden,внезапный
suddenly,внезапно
suggest,предлагать
summer,лето
sun,солнце
suppose,предполагать
sure,конечно
surprise,сюрприз
surround,окружение
sweet,сладкий
table,стол
take,брать
taken,взятый
talk,разговаривать
tall,высокий
teacher,учитель
team,команда
tear,рвать
teeth,зубы
tell,рассказывать
ten,десять
than,чем
thank,благодарить
that,что
that's,это
the,а
their,их
them,их
themselves,сами себя
then,затем
there,там
there's,есть
these,эти
they,они
they'd,они бы
they're,они
thick,толстый
thing,вещь
think,думать
third,третий
this,этот
those,те
though,хотя
thought,мысль
three,три
threw,выбросить
throat,горло
through,через
throw,бросать
tie,галстук
tight,тугой
time,время
tiny,крошечный
tire,шина
to,к
today,сегодня
together,вместе
told,сказал
tomorrow,завтра
tone,тон
tongue,язык
tonight,сегодня вечером
too,слишком
took,взял
top,вершина
totally,Полностью
touch,трогать
toward,к
town,город
track,отслеживать
trail,тащить
train,тренироваться
tree,дерево
trip,путешествие
trouble,беда
TRUE,истинный
trust,доверять
truth,правда
try,пытаться
turn,повернуть
TV,ТВ
twenty,двадцать
two,два
type,тип
uncle,дядя
under,под
understand,понимать
until,до
up,вверх
upon,на
us,нас
use,использовать
usual,обычный
usually,обычно
very,очень
visit,посещать
voice,голос
wait,ждать
wake,будить
walk,ходить
wall,стена
want,хотеть
warm,теплый
warn,предупреждать
was,был
wasn't,не было
watch,смотреть
water,вода
wave,волна
way,способ
we,мы
we'll,хорошо
we're,были
we've,Мы
wear,носить
week,неделя
weird,странный
well,хорошо
went,шел
were,были
weren't,не было
wet,влажный
what,что
what's,что есть
whatever,что бы ни
when,когда
where,где
whether,ли
which,который
while,пока
whisper,шепот
